vietnamese_imperial_government;Vietnamese Imperial Government;;;;;;;;;;;;;x
vietnamese_imperial_government_desc;In ancient Vietnam the power of the bureaucrats often eclipsed that of the central authorities, including the monarch.A complex system of checks and balances prevented any one section of the government from gaining overwhelming power.;;;;;;;;;;;;;x
thien_thai_buddhist;Thien Thai;;;;;;;;;;;;;x
thien_thai_buddhist_desc;Tiantai is an East Asian Buddhist school of Mahayana Buddhism that developed in 6th-century China that emphasizes the Lotus Sutra.;;;;;;;;;;;;;x
hoa_nghiem_buddhist;Hoa Nghiem;;;;;;;;;;;;;x
hoa_nghiem_buddhist_desc;The Huayan worldview is based primarily on the Avatamsaka Sutra as well as on the works of the Huayan patriarchs, like Fazang.[1] The name Flower Garland is meant to suggest the crowning glory of a Buddha's profound understanding of ultimate reality.;;;;;;;;;;;;;x
thien_tong_buddhist;Thien Tong;;;;;;;;;;;;;x
thien_tong_buddhist_desc;Chan Buddhism is a major Chinese Buddhist sect attributed to Bodhidharma that emphasizes attaining Buddhahood, the supreme Buddhist religious goal, through enlightenment of one's own mind, which subsequently spreaded to Japan and named as Zen;;;;;;;;;;;;;x
tinh_do_buddhist;Tinh Do;;;;;;;;;;;;;x
tinh_do_buddhist_desc;Tinh Do or Amidism is a broad branch of Mahayana Buddhism focused on achieving rebirth in a Buddha-field or Pure Land.;;;;;;;;;;;;;x
nho_giao;Nho Giao;;;;;;;;;;;;;x
nho_giao_desc;Nho Giao is the vietnamese term for Neo-Confucianism. It is a social and ethical philosophy using metaphysical ideas, some borrowed from Taoism and Buddhism, as its framework. The philosophy can be characterized as humanistic and rationalistic, with the belief that the universe could be understood through human reason, and that it was up to humanity to create a harmonious relationship between the universe and the individual.;;;;;;;;;;;;;x
dao_giao;Dao Giao;;;;;;;;;;;;;x
dao_giao_desc;Dao Giao is the vietnamese term for Taoism. It is a diverse philosophical and religious tradition indigenous to China, emphasizing harmony with the Tao, the natural way of the universe.;;;;;;;;;;;;;x
convert_thangiao_branch;Change Vietnamese Belief;;;;;;;;;;;;;x
EVTDESCvietnameseevents.1;There are several competing belief systems in Vietnam that often form synchretic relationships with eachother and with traditional folk belief. Which one should we follow?;;;;;;;;;;;;;x
EVTOPTAvietnameseevents.1;The reinvigorated teachings of Confucius;;;;;;;;;;;;;x
EVTOPTBvietnameseevents.1;The mystical schools of Tao;;;;;;;;;;;;;x
EVTOPTCvietnameseevents.1;Convert to Tinh Do;;;;;;;;;;;;;x
EVTOPTDvietnameseevents.1;Convert to Thien Thai;;;;;;;;;;;;;x
EVTOPTEvietnameseevents.1;Convert to Thien Tong;;;;;;;;;;;;;x
EVTOPTFvietnameseevents.1;Convert to Hoa Nghiem;;;;;;;;;;;;;x
EVTOPTGvietnameseevents.1;The exotic branches of Buddhism;;;;;;;;;;;;;x
EVTOPTHvietnameseevents.1;Return;;;;;;;;;;;;;x
EVTOPTIvietnameseevents.1;All nonsense;;;;;;;;;;;;;x
EVTOPTJvietnameseevents.1;Next Page;;;;;;;;;;;;;x
vietnamese_subjugation
vietnamese_subjugation_desc

